num_season,season,merged_tribe,num_merge,day_merge,num_jury,num_ftc,num_swaps,num_contestants,redemption_island,edge_of_extinction,num_days,african_american,asian_american,latin_american,poc,lgbt,jewish,muslim,num_quits,num_evacs,winner
1,Survivor: Borneo,Rattana,10,20,7,2,0,16,0,0,39,2,0,0,2,2,0,0,0,0,Richard Hatch
2,Survivor: The Australian Outback,Barramundi,10,20,7,2,0,16,0,0,42,2,0,1,3,2,0,0,0,1,Tina Wesson
3,Survivor: Africa,Moto Maji,10,20,7,2,1,16,0,0,39,2,0,1,3,1,1,0,0,0,Ethan Zohn
4,Survivor: Marquesas,Soliantu,10,20,7,2,1,16,0,0,39,2,0,0,2,1,0,0,0,0,Vecepia Towery
5,Survivor: Thailand,Chuay Jai,8,25,7,2,0,16,0,0,39,2,1,0,3,0,0,0,0,0,Brian Heidik
6,Survivor: The Amazon,Jacaré,10,19,7,2,1,16,0,0,39,1,1,1,3,0,0,0,0,0,Jenna Morasca
7,Survivor: Pearl Islands,Balboa,10,21,7,2,0,16,0,0,39,2,0,1,3,0,1,0,1,0,Sandra Diaz-Twine
8,Survivor: All-Stars,Chaboga Mogo,9,26,7,2,2,18,0,0,39,1,1,0,2,1,1,0,2,0,Amber Mariano
9,Survivor: Vanuatu,Alinta,10,20,7,2,1,18,0,0,39,1,0,0,1,2,1,0,0,0,Chris Daugherty
10,Survivor: Palau,Koror,9,22,7,2,0,20,0,0,39,2,0,1,3,2,1,1,1,0,Tom Westman
11,Survivor: Guatemala,Xhakúm,10,18,7,2,1,18,0,0,39,0,0,2,2,2,0,0,0,0,Danni Boatwright
12,Survivor: Panama,Gitanos,10,16,7,2,1,16,0,0,39,2,1,0,3,0,0,0,0,1,Aras Baskauskas
13,Survivor: Cook Islands,Aitutonga,9,25,9,3,2,20,0,0,39,5,5,6,15,3,1,0,0,0,Yul Kwon
14,Survivor: Fiji,Bula Bula,10,22,9,3,1,19,0,0,39,5,5,5,15,0,0,0,1,0,Earl Cole
15,Survivor: China,Hae Da Fung,10,20,7,3,1,16,0,0,39,2,2,0,4,1,0,0,0,0,Todd Herzog
16,Survivor: Micronesia,Dabu,10,22,8,2,1,20,0,0,39,2,2,1,5,4,2,0,1,2,Parvati Shallow
17,Survivor: Gabon,Nobag,9,27,7,3,2,18,0,0,39,2,1,3,6,1,2,0,0,0,Bob Crowley
18,Survivor: Tocantins,Forza,10,19,7,2,0,16,0,0,39,3,0,1,4,1,1,0,0,1,J.T. Thomas
19,Survivor: Samoa,Aiga,12,19,9,3,0,20,0,0,39,3,1,3,7,1,0,0,0,2,Natalie White
