num_season,tribe,iter_num,num_contestants,merge,african_american,asian_american,latin_american,poc,jewish,muslim,lgbt,male,female,non_binary,color
1,Tagi,1,8,0,0,0,0,0,0,0,2,4,4,0,Orange
1,Pagong,1,8,0,2,0,0,2,0,0,0,4,4,0,Yellow/Gold
1,Rattana,0,10,1,1,0,0,1,0,0,1,5,5,0,Green
2,Kucha,1,8,0,2,0,0,2,0,0,1,4,4,0,Blue/Teal
2,Ogakor,1,8,0,0,0,1,1,0,0,1,4,4,0,Green
2,Barramundi,0,10,1,2,0,0,2,0,0,1,5,5,0,Orange
3,Boran,1,8,0,1,0,1,2,1,0,0,4,4,0,Yellow/Gold
3,Samburu,1,8,0,1,0,0,1,0,0,1,4,4,0,Red
3,Boran,2,6,0,1,0,0,1,1,0,0,4,2,0,Yellow/Gold
3,Samburu,2,6,0,0,0,0,0,0,0,1,3,3,0,Red
3,Moto Maji,0,10,1,1,0,0,1,1,0,1,6,4,0,Green
4,Maraamu,1,8,0,2,0,0,2,0,0,0,4,4,0,Yellow/Gold
4,Rotu,1,8,0,0,0,0,0,0,0,1,4,4,0,Blue/Teal
4,Maraamu,2,5,0,0,0,0,0,0,0,0,1,4,0,Yellow/Gold
4,Rotu,2,8,0,2,0,0,2,0,0,1,5,3,0,Blue/Teal
4,Soliantu,0,10,1,2,0,0,2,0,0,1,5,5,0,Magenta
5,Chuay Gahn,1,8,0,2,0,0,2,0,0,0,4,4,0,Orange
5,Sook Jai,1,8,0,0,1,0,1,0,0,0,4,4,0,Purple
5,Chuay Jai,0,8,1,1,0,0,1,0,0,0,5,3,0,Yellow/Gold
6,Tambaqui,1,8,0,0,1,0,1,0,0,0,8,0,0,Blue/Teal
6,Jaburu,1,8,0,1,0,1,2,0,0,0,0,8,0,Yellow/Gold
6,Tambaqui,2,6,0,0,0,0,0,0,0,0,3,3,0,Blue/Teal
6,Jaburu,2,6,0,0,0,1,1,0,0,0,3,3,0,Yellow/Gold
6,Jacaré,0,10,1,0,0,1,1,0,0,0,6,4,0,Red
7,Morgan,1,8,0,2,0,0,2,0,0,0,4,4,0,Orange
7,Drake,1,8,0,0,0,1,1,1,0,0,4,4,0,Blue/Teal
7,Balboa,0,10,1,1,0,1,2,0,0,0,5,5,0,Black
8,Saboga,1,6,0,0,0,0,0,1,0,0,3,3,0,Yellow/Gold
8,Mogo Mogo,1,6,0,0,1,0,1,0,0,1,3,3,0,Green
8,Chapera,1,6,0,1,0,0,1,0,0,0,3,3,0,Red
8,Mogo Mogo,2,7,0,0,1,0,1,1,0,1,4,3,0,Green
8,Chapera,2,7,0,1,0,0,1,0,0,0,3,4,0,Red
8,Chapera,3,5,0,0,1,0,1,0,0,0,1,4,0,Red
8,Mogo Mogo,3,5,0,1,0,0,1,0,0,0,3,2,0,Green
8,Chaboga Mogo,0,9,1,1,1,0,2,0,0,0,4,5,0,Blue/Teal
